id;module_type_id;relative_url;resource_page_location;resource_page;resource_type;created_date;last_modified_date;created_by_id;last_modified_by_id
1;1;/application/businessintelligence/abixen/businessintelligence.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
2;1;/application/businessintelligence/abixen/lib/d3.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
3;1;/application/businessintelligence/abixen/lib/nv.d3.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
4;1;/application/businessintelligence/abixen/lib/nv.d3.min.css;HEADER;APPLICATION;CSS;NULL;NULL;NULL;NULL
5;1;/application/businessintelligence/abixen/lib/angular-nvd3.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
6;1;/admin/businessintelligence/abixen/lib/xlsx.full.min.js;BODY;ADMIN;JAVASCRIPT;NULL;NULL;NULL;NULL
7;2;/application/businessintelligence/abixen/businessintelligence.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
8;3;/application/businessintelligence/abixen/businessintelligence.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
9;3;/application/businessintelligence/abixen/lib/roundProgress.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
10;4;/admin/web-content-service/web-content.min.js;BODY;APPLICATION;JAVASCRIPT;NULL;NULL;NULL;NULL
11;4;/admin/web-content-service/web-content.min.css;HEADER;APPLICATION;CSS;NULL;NULL;NULL;NULL
